id,price,neighbourhood_cleansed,property_type,room_type,bedrooms,bathrooms,accommodates,latitude,longitude,review_scores_rating,availability_365,reviews_per_month,minimum_nights,maximum_nights,price_range
23924310,81.0,Downtown/Civic Center,Entire rental unit,Entire home/apt,0,1,2,37.78459,-122.41199,4.8,177,0.08,30,125,50-99
37048608,160.05,Downtown/Civic Center,Entire condo,Entire home/apt,1,1,4,37.78881,-122.40929,5.0,0,0.02,3,5,150-199
644801578513713497,110.0,Outer Richmond,Entire rental unit,Entire home/apt,2,1,3,37.78202,-122.48657,5.0,319,0.26,30,120,100-149
21897971,95.0,Mission,Private room in home,Private room,1,1,2,37.75229,-122.41338,4.89,126,0.33,30,120,50-99
1019974686740614556,150.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.7884146,-122.4215935,4.75,280,1.26,2,360,100-149
37674309,160.05,Downtown/Civic Center,Room in boutique hotel,Private room,1,1,2,37.78683,-122.40929,4.75,0,1.26,1,1125,150-199
6970746,149.0,Presidio Heights,Private room in home,Private room,1,1,2,37.782387,-122.455185,4.93,59,1.92,1,10,100-149
52773447,95.0,Inner Sunset,Entire home,Entire home/apt,0,1,2,37.76446657294276,-122.45265389447424,4.75,300,1.26,30,30,50-99
1100046545891180049,100.0,Haight Ashbury,Room in hotel,Private room,1,1,2,37.76807,-122.4533,4.75,54,1.26,1,365,50-99
811382322371984842,299.0,Chinatown,Entire condo,Entire home/apt,1,1,4,37.79230650041446,-122.408029932422,4.75,158,1.26,1,365,250-299
37180404,104.0,Outer Sunset,Private room in home,Private room,1,1,2,37.76058,-122.4821,4.9,68,2.09,2,1125,100-149
39424458,65.0,Excelsior,Private room in home,Private room,1,1,2,37.72532,-122.40502,4.79,85,1.72,1,29,50-99
4417901,95.0,North Beach,Private room in bed and breakfast,Private room,1,0,2,37.79939,-122.40576,4.58,362,1.61,1,365,50-99
42484387,89.0,Nob Hill,Private room in condo,Private room,1,1,1,37.797,-122.41051,4.83,257,0.2,30,1125,50-99
592883,66.0,Mission,Private room in home,Private room,1,1,1,37.75594,-122.41105,4.66,167,0.62,28,1125,50-99
21727562,95.0,Outer Richmond,Private room in home,Private room,2,2,3,37.77714,-122.49554,4.6,180,1.63,2,28,50-99
2203283,69.0,Inner Richmond,Private room in condo,Private room,1,1,2,37.77842,-122.46802,4.83,342,4.07,1,1125,50-99
786735857366228887,105.0,North Beach,Entire rental unit,Entire home/apt,1,1,4,37.8002289,-122.4076054,5.0,39,0.7,30,365,100-149
41570854,69.0,Inner Sunset,Private room in home,Private room,1,1,2,37.75928,-122.47671,4.89,319,0.23,30,150,50-99
893841281141118607,96.0,South of Market,Private room in rental unit,Private room,1,1,2,37.782621529736375,-122.39353372210024,5.0,334,0.17,30,365,50-99
952224293994738549,50.0,Visitacion Valley,Private room in home,Private room,1,0,2,37.7102607,-122.4172383,4.93,244,2.02,1,365,0-49
655354045768266763,49.0,Excelsior,Private room in home,Private room,1,1,2,37.71932,-122.43664,4.71,176,2.54,1,28,0-49
33015887,275.0,Castro/Upper Market,Entire cottage,Entire home/apt,1,1,2,37.76162,-122.42855,4.98,198,1.38,2,7,250-299
660335128998039146,218.0,Inner Richmond,Entire rental unit,Entire home/apt,3,2,9,37.7807638,-122.4764602,4.75,307,0.22,30,1125,200-249
51521830,200.0,Bernal Heights,Entire guest suite,Entire home/apt,1,1,3,37.74581,-122.40833,4.99,44,3.53,2,30,150-199
54208170,55.0,Parkside,Private room in home,Private room,1,1,2,37.7419,-122.47562,4.75,175,0.37,30,92,50-99
889296775205518729,138.0,Nob Hill,Private room in home,Private room,1,1,2,37.79518,-122.41055,5.0,73,3.34,2,15,100-149
52273857,132.0,North Beach,Entire rental unit,Entire home/apt,1,1,2,37.80684259999999,-122.4103284,5.0,307,0.1,31,1125,100-149
13806046,95.0,Outer Sunset,Private room in home,Private room,1,1,4,37.75814,-122.48835,4.85,48,1.59,1,45,50-99
38129278,227.0,Noe Valley,Entire guest suite,Entire home/apt,1,1,2,37.751919,-122.434654,4.82,79,2.14,3,28,200-249
49718825,130.0,Glen Park,Entire rental unit,Entire home/apt,0,1,3,37.73881,-122.43529,4.87,80,1.42,5,29,100-149
42433950,89.0,Mission,Private room in home,Private room,1,1,3,37.75934,-122.40814,4.96,94,2.33,3,28,50-99
24000340,66.0,Bernal Heights,Private room in home,Private room,1,1,2,37.74268,-122.41577,4.53,249,1.3,1,1125,50-99
54143584,128.0,South of Market,Private room in home,Private room,1,1,2,37.782,-122.39533,4.93,231,3.87,1,60,100-149
28053384,80.0,Parkside,Private room in rental unit,Private room,1,1,2,37.74317,-122.4878,4.98,56,0.94,2,14,50-99
857263123279085671,95.0,South of Market,Private room in rental unit,Private room,1,1,1,37.77551,-122.39911,4.75,278,1.26,60,365,50-99
17991554,84.0,Outer Sunset,Private room in home,Private room,1,1,1,37.76507,-122.48066,4.87,89,2.94,1,29,50-99
43089212,62.0,Excelsior,Private room in home,Private room,1,1,2,37.72439,-122.40512,4.79,90,2.57,1,29,50-99
39798824,110.0,Russian Hill,Entire rental unit,Entire home/apt,2,2,4,37.79749,-122.41157,4.3,109,0.23,30,600,100-149
